1995-05-29,Close, 519999.98
1995-05-30,Close, 789999.96
1995-05-31,Close, 639999.97
1995-06-01,Close, 8519999.62
1995-06-02,Close, 669999.97
1995-06-05,Close, 399999.98
1995-06-05,BUY CREATE, 399999.98
1995-06-06,Order Canceled/Margin/Rejected
1995-06-06,Close, 489999.98
1995-06-07,Close, 1309999.94
1995-06-08,Close, 719999.97
1995-06-09,Close, 449999.98
1995-06-09,BUY CREATE, 449999.98
1995-06-12,Order Canceled/Margin/Rejected
1995-06-12,Close, 1959999.91
1995-06-13,Close, 929999.96
1995-06-14,Close, 1239999.94
1995-06-15,Close, 599999.97
1995-06-16,Close, 879999.96
1995-06-19,Close, 339999.98
1995-06-20,Close, 339999.98
1995-06-21,Close, 90000.00
1995-06-22,Close, 349999.98
1995-06-23,Close, 3199999.86
1995-06-26,Close, 929999.96
1995-06-27,Close, 959999.96
1995-06-28,Close, 1129999.95
1995-06-29,Close, 2879999.87
1995-06-30,Close, 299999.99
1995-07-03,Close, 549999.98
1995-07-04,Close, 1759999.92
1995-07-05,Close, 3269999.85
1995-07-06,Close, 559999.97
1995-07-07,Close, 619999.97
1995-07-10,Close, 5789999.74
1995-07-11,Close, 2599999.88
1995-07-12,Close, 329999.99
1995-07-12,BUY CREATE, 329999.99
1995-07-13,Order Canceled/Margin/Rejected
1995-07-13,Close, 1039999.95
1995-07-14,Close, 839999.96
1995-07-17,Close, 1279999.94
1995-07-18,Close, 869999.96
1995-07-19,Close, 1979999.91
1995-07-20,Close, 869999.96
1995-07-21,Close, 849999.96
1995-07-21,BUY CREATE, 849999.96
1995-07-24,Order Canceled/Margin/Rejected
1995-07-24,Close, 999999.96
1995-07-25,Close, 32719998.54
1995-07-26,Close, 599999.97
1995-07-27,Close, 419999.98
1995-07-27,BUY CREATE, 419999.98
1995-07-28,Order Canceled/Margin/Rejected
1995-07-28,Close, 399999.98
1995-07-28,BUY CREATE, 399999.98
1995-07-31,Order Canceled/Margin/Rejected
1995-07-31,Close, 1589999.93
1995-08-01,Close, 2469999.89
1995-08-02,Close, 919999.96
1995-08-03,Close, 499999.98
1995-08-03,BUY CREATE, 499999.98
1995-08-04,Order Canceled/Margin/Rejected
1995-08-04,Close, 3089999.86
1995-08-07,Close, 6239999.72
1995-08-08,Close, 979999.96
1995-08-09,Close, 529999.98
1995-08-09,BUY CREATE, 529999.98
1995-08-11,Order Canceled/Margin/Rejected
1995-08-11,Close, 2149999.90
1995-08-14,Close, 899999.96
1995-08-16,Close, 1489999.93
1995-08-17,Close, 379999.98
1995-08-18,Close, 289999.99
1995-08-18,BUY CREATE, 289999.99
1995-08-21,Order Canceled/Margin/Rejected
1995-08-21,Close, 1379999.94
1995-08-22,Close, 1059999.95
1995-08-23,Close, 279999.99
1995-08-23,BUY CREATE, 279999.99
1995-08-24,Order Canceled/Margin/Rejected
1995-08-24,Close, 819999.96
1995-08-25,Close, 1919999.91
1995-08-28,Close, 1429999.94
1995-08-30,Close, 1039999.95
1995-08-30,BUY CREATE, 1039999.95
1995-08-31,Order Canceled/Margin/Rejected
1995-08-31,Close, 569999.97
1995-08-31,BUY CREATE, 569999.97
1995-09-01,Order Canceled/Margin/Rejected
1995-09-01,Close, 509999.98
1995-09-01,BUY CREATE, 509999.98
1995-09-04,Order Canceled/Margin/Rejected
1995-09-04,Close, 1509999.93
1995-09-05,Close, 1219999.95
1995-09-06,Close, 839999.96
1995-09-06,BUY CREATE, 839999.96
1995-09-07,Order Canceled/Margin/Rejected
1995-09-07,Close, 689999.97
1995-09-07,BUY CREATE, 689999.97
1995-09-08,Order Canceled/Margin/Rejected
1995-09-08,Close, 159999.99
1995-09-08,BUY CREATE, 159999.99
1995-09-11,Order Canceled/Margin/Rejected
1995-09-11,Close, 289999.99
1995-09-12,Close, 1639999.93
1995-09-13,Close, 1119999.95
1995-09-14,Close, 11069999.51
1995-09-15,Close, 759999.97
1995-09-18,Close, 1189999.95
1995-09-19,Close, 1209999.95
1995-09-20,Close, 809999.96
1995-09-21,Close, 2989999.87
1995-09-22,Close, 3619999.84
1995-09-25,Close, 769999.97
1995-09-26,Close, 1459999.93
